year,month,total,min,max
1942,7,13.20,0.00,30.90
1942,8,6.40,0.00,7.90
1942,9,43.20,0.00,76.70
1942,10,5.60,0.00,9.40
1942,11,45.70,0.00,75.50
1943,12,129.50,0.00,477.00
1943,1,40.60,0.00,124.50
1943,2,190.50,0.00,690.40
1943,3,59.70,0.00,170.00
1943,4,12.70,0.00,69.80
1943,5,10.90,0.00,38.40
1943,6,21.80,0.00,29.70
1943,7,1.30,0.00,2.60
1943,8,0.00,0.00,0.00
1943,9,40.60,0.00,101.00
1943,10,13.50,0.00,28.00
1943,11,3.80,0.00,9.40
1944,12,43.20,0.00,104.90
1944,1,41.90,0.00,148.30
1944,2,139.70,0.00,691.50
1944,3,92.70,0.00,272.70
1944,4,38.10,0.00,92.20
1944,5,10.70,0.00,15.80
1944,6,43.90,0.00,124.20
1944,7,44.50,0.00,99.40
1944,8,13.50,0.00,30.10
1944,9,16.50,0.00,81.80
1944,10,17.80,0.00,59.80
1944,11,15.20,0.00,29.70
1945,12,32.50,0.00,121.80
1945,1,274.30,0.00,838.30
1945,2,274.30,0.00,890.20
1945,3,184.20,0.00,1297.50
1945,4,65.80,0.00,214.00
1945,5,95.30,0.00,205.30
1945,6,23.40,0.00,68.30
1945,7,14.00,0.00,94.50
1945,8,3.60,0.00,5.60
1945,9,1.30,0.00,1.30
1945,10,12.70,0.00,30.50
1945,11,18.00,0.00,58.20
1946,12,114.30,0.00,265.50
1946,1,88.90,0.00,295.60
1946,2,86.40,0.00,524.80
1946,3,102.90,0.00,226.90
1946,4,12.20,0.00,22.10
1946,5,15.20,0.00,65.00
1946,6,19.80,0.00,32.70
1946,7,16.00,0.00,30.30
1946,8,3.00,0.00,3.00
1946,9,1.30,0.00,2.60
1946,10,7.90,0.00,8.40
1946,11,14.70,0.00,22.40
1947,12,15.20,0.00,35.10
1947,1,20.80,0.00,94.10
1947,2,186.70,0.00,504.20
1947,3,64.80,0.00,302.50
1947,4,43.90,0.00,120.20
1947,5,38.10,0.00,138.90
1947,6,15.20,0.00,82.80
1947,7,14.70,0.00,56.40
1947,8,131.60,0.00,219.00
1947,9,61.00,0.00,90.90
1947,10,15.20,0.00,70.90
1947,11,55.90,0.00,109.00
1948,12,15.70,0.00,39.30
1948,1,141.70,0.00,512.50
1948,2,52.10,0.00,159.30
1948,3,88.90,0.00,366.50
1948,4,19.10,0.00,97.90
1948,5,13.70,0.00,49.00
1948,6,51.30,0.00,142.10
1948,7,39.90,0.00,112.40
1948,8,19.80,0.00,64.00
1948,9,0.00,0.00,0.00
1948,10,0.00,0.00,0.00
1948,11,9.70,0.00,29.20
1949,12,95.50,0.00,156.70
1949,1,94.50,0.00,348.00
1949,2,190.00,0.00,575.80
1949,3,80.00,0.00,456.50
1949,4,203.70,0.00,358.30
1949,5,20.30,0.00,63.10
1949,6,6.40,0.00,21.10
1949,7,5.80,0.00,9.80
1949,8,12.70,0.00,79.80
1949,9,11.40,0.00,25.40
1949,10,2.50,0.00,2.50
1949,11,25.10,0.00,50.40
1950,12,57.40,0.00,132.40
1950,1,235.00,0.00,744.10
1950,2,103.40,0.00,336.60
1950,3,74.90,0.00,461.10
1950,4,118.10,0.00,459.90
1950,5,17.80,0.00,57.50
1950,6,31.20,0.00,76.60
1950,7,23.90,0.00,103.80
1950,8,0.50,0.00,0.50
1950,9,7.90,0.00,22.90
1950,10,20.30,0.00,33.50
1950,11,171.50,0.00,382.10
1951,12,97.80,0.00,548.00
1951,1,66.30,0.00,413.50
1951,2,20.30,0.00,67.50
1951,3,39.40,0.00,145.50
1951,4,11.70,0.00,25.00
1951,5,19.10,0.00,62.10
1951,6,19.10,0.00,43.50
1951,7,8.90,0.00,24.50
1951,8,14.00,0.00,42.50
1951,9,24.10,0.00,134.10
1951,10,17.80,0.00,51.20
1951,11,38.10,0.00,68.30
1952,12,8.90,0.00,9.90
1952,1,81.30,0.00,484.40
1952,2,40.10,0.00,184.90
1952,3,99.60,0.00,322.20
1952,4,55.90,0.00,153.70
1952,5,20.30,0.00,94.50
1952,6,11.40,0.00,14.40
1952,7,14.50,0.00,21.10
1952,8,48.30,0.00,106.10
1952,9,12.70,0.00,37.90
