year,month,total,min,max
1975,5,16.80,0.00,36.40
1975,6,32.40,0.00,90.20
1975,7,7.40,0.00,27.20
1975,8,12.00,0.00,22.00
1975,9,38.40,0.00,69.60
1975,10,20.00,0.00,50.00
1975,11,30.20,0.00,45.00
1976,12,55.00,0.00,222.80
1976,1,40.60,0.00,117.60
1976,2,73.80,0.00,247.70
1976,3,65.40,0.00,307.60
1976,4,39.60,0.00,103.40
1976,5,11.60,0.00,36.00
1976,6,21.20,0.00,47.20
1976,7,11.40,0.00,34.80
1976,8,2.40,0.00,4.00
1976,9,1.80,0.00,3.00
1976,10,15.60,0.00,48.80
1976,11,43.80,0.00,160.80
1977,12,38.80,0.00,165.60
1977,1,31.60,0.00,106.20
1977,2,162.00,0.00,836.60
1977,3,316.80,0.00,582.00
1977,4,34.00,0.00,145.20
1977,5,93.00,0.00,156.70
1977,6,10.20,0.00,39.20
1977,7,3.20,0.00,7.80
1977,8,6.20,0.00,15.20
1977,9,12.20,0.00,38.80
1977,10,2.40,0.00,5.20
1977,11,6.20,0.00,17.00
1978,12,35.60,0.00,77.30
1978,1,95.00,0.00,263.00
1978,2,20.00,0.00,71.00
1978,3,58.00,0.00,131.00
1978,4,26.00,0.00,55.00
1978,5,14.00,0.00,45.00
1978,6,1.80,0.00,3.80
1978,7,1.00,0.00,1.00
1978,8,12.00,0.00,33.00
1978,9,6.00,0.00,7.00
1978,10,10.00,0.00,31.00
1978,11,42.00,0.00,74.00
1979,12,70.00,0.00,281.00
1979,1,264.00,0.00,1224.00
1979,2,63.00,0.00,244.00
1979,3,43.00,0.00,213.00
1979,4,17.00,0.00,67.00
1979,5,7.00,0.00,18.00
1979,6,40.00,0.00,65.00
1979,7,16.00,0.00,28.00
1979,8,9.00,0.00,9.40
1979,9,2.00,0.00,6.00
1979,10,17.00,0.00,26.00
1979,11,0.00,0.00,0.00
1980,12,20.00,0.00,49.00
1980,1,19.00,0.00,64.00
1980,2,26.00,0.00,169.00
1980,3,89.00,0.00,205.00
1980,4,32.00,0.00,67.00
1980,5,13.00,0.00,39.00
1980,6,13.00,0.00,30.00
1980,7,3.00,0.00,8.00
1980,8,5.00,0.00,27.00
1980,9,0.00,0.00,0.00
1980,10,5.00,0.00,14.00
1980,11,17.00,0.00,43.00
1981,12,35.00,0.00,62.00
1981,1,83.00,0.00,693.00
1981,2,75.00,0.00,388.00
1981,3,39.00,0.00,102.00
1981,4,13.00,0.00,63.00
1981,5,26.00,0.00,81.00
1981,6,2.00,0.00,3.00
